longitude,latitude,elevation
-180,90,-1240
-179,90,-4920
-178,90,-4920
-177,90,-4920
-176,90,-4920
-175,90,-4920
-174,90,-4920
-173,90,-4920
-172,90,-4920
-171,90,-4920
-170,90,-4920
-169,90,-4920
-168,90,-4920
-167,90,-4920
-166,90,-4920
-165,90,-4920
-164,90,-4920
-163,90,-4920
-162,90,-4920
-161,90,-4920
-160,90,-4920
-159,90,-4920
-158,90,-4920
-157,90,-4920
-156,90,-4920
-155,90,-4920
-154,90,-4920
-153,90,-4920
-152,90,-4920
-151,90,-4920
-150,90,-4920
-149,90,-4920
-148,90,-4920
-147,90,-4920
-146,90,-4920
-145,90,-4920
-144,90,-4920
-143,90,-4920
-142,90,-4920
-141,90,-4920
-140,90,-4920
-139,90,-4920
-138,90,-4920
-137,90,-4920
-136,90,-4920
-135,90,-4920
-134,90,-4920
-133,90,-4920
-132,90,-4920
-131,90,-4920
-130,90,-4920
-129,90,-4920
-128,90,-4920
-127,90,-4920
-126,90,-4920
-125,90,-4920
-124,90,-4920
-123,90,-4920
-122,90,-4920
-121,90,-4920
-120,90,-4920
-119,90,-4920
-118,90,-4920
-117,90,-4920
-116,90,-4920
-115,90,-4920
-114,90,-4920
-113,90,-4920
-112,90,-4920
-111,90,-4920
-110,90,-4920
-109,90,-4920
-108,90,-4920
-107,90,-4920
-106,90,-4920
-105,90,-4920
-104,90,-4920
-103,90,-4920
-102,90,-4920
-101,90,-4920
-100,90,-4920
-99,90,-4920
-98,90,-4920
-97,90,-4920
-96,90,-4920
-95,90,-4920
-94,90,-4920
-93,90,-4920
-92,90,-4920
-91,90,-4920
-90,90,-4920
-89,90,-4920
-88,90,-4920
-87,90,-4920
-86,90,-4920
-85,90,-4920
-84,90,-4920
-83,90,-4920
-82,90,-4920
-81,90,-4920
-80,90,-4920
-79,90,-4920
-78,90,-4920
-77,90,-4920
-76,90,-4920
-75,90,-4920
-74,90,-4920
-73,90,-4920
-72,90,-4920
-71,90,-4920
-70,90,-4920
-69,90,-4920
-68,90,-4920
-67,90,-4920
-66,90,-4920
-65,90,-4920
-64,90,-4920
-63,90,-4920
-62,90,-4920
-61,90,-4920
-60,90,-4920
-59,90,-4920
-58,90,-4920
-57,90,-4920
-56,90,-4920
-55,90,-4920
-54,90,-4920
-53,90,-4920
-52,90,-4920
-51,90,-4920
-50,90,-4920
-49,90,-4920
-48,90,-4920
-47,90,-4920
-46,90,-4920
-45,90,-4920
-44,90,-4920
-43,90,-4920
-42,90,-4920
-41,90,-4920
-40,90,-4920
-39,90,-4920
-38,90,-4920
-37,90,-4920
-36,90,-4920
-35,90,-4920
-34,90,-4920
-33,90,-4920
-32,90,-4920
-31,90,-4920
-30,90,-4920
-29,90,-4920
-28,90,-4920
-27,90,-4920
-26,90,-4920
-25,90,-4920
-24,90,-4920
-23,90,-4920
-22,90,-4920
-21,90,-4920
-20,90,-4920
-19,90,-4920
-18,90,-4920
-17,90,-4920
-16,90,-4920
-15,90,-4920
-14,90,-4920
-13,90,-4920
-12,90,-4920
-11,90,-4920
-10,90,-4920
-9,90,-4920
-8,90,-4920
-7,90,-4920
-6,90,-4920
-5,90,-4920
-4,90,-4920
-3,90,-4920
-2,90,-4920
-1,90,-4920
0,90,-4920
1,90,-4920
2,90,-4920
3,90,-4920
4,90,-4920
5,90,-4920
6,90,-4920
7,90,-4920
8,90,-4920
9,90,-4920
10,90,-4920
11,90,-4920
12,90,-4920
13,90,-4920
14,90,-4920
15,90,-4920
16,90,-4920
17,90,-4920
18,90,-4920
19,90,-4920
20,90,-4920
21,90,-4920
22,90,-4920
23,90,-4920
24,90,-4920
25,90,-4920
26,90,-4920
27,90,-4920
28,90,-4920
29,90,-4920
30,90,-4920
31,90,-4920
32,90,-4920
33,90,-4920
34,90,-4920
35,90,-4920
36,90,-4920
37,90,-4920
38,90,-4920
39,90,-4920
40,90,-4920
41,90,-4920
42,90,-4920
43,90,-4920
44,90,-4920
45,90,-4920
46,90,-4920
47,90,-4920
48,90,-4920
49,90,-4920
50,90,-4920
51,90,-4920
52,90,-4920
53,90,-4920
54,90,-4920
55,90,-4920
56,90,-4920
57,90,-4920
58,90,-4920
59,90,-4920
60,90,-4920
61,90,-4920
62,90,-4920
63,90,-4920
64,90,-4920
65,90,-4920
66,90,-4920
67,90,-4920
68,90,-4920
69,90,-4920
70,90,-4920
71,90,-4920
72,90,-4920
73,90,-4920
74,90,-4920
75,90,-4920
76,90,-4920
77,90,-4920
78,90,-4920
79,90,-4920
80,90,-4920
81,90,-4920
82,90,-4920
83,90,-4920
84,90,-4920
85,90,-4920
86,90,-4920
87,90,-4920
88,90,-4920
89,90,-4920
