# lon,lat,elev
-180,90,80
-179,90,440
-178,90,440
-177,90,400
-176,90,360
-175,90,160
-174,90,160
-173,90,240
-172,90,280
-171,90,280
-170,90,360
-169,90,240
-168,90,200
-167,90,120
-166,90,320
-165,90,800
-164,90,600
-163,90,1000
-162,90,1400
-161,90,1600
-160,90,1480
-159,90,1080
-158,90,800
-157,90,1000
-156,90,1680
-155,90,1880
-154,90,1840
-153,90,720
-152,90,600
-151,90,640
-150,90,640
-149,90,560
-148,90,400
-147,90,320
-146,90,160
-145,90,200
-144,90,240
-143,90,280
-142,90,280
-141,90,480
-140,90,280
-139,90,320
-138,90,400
-137,90,600
-136,90,480
-135,90,440
-134,90,400
-133,90,1680
-132,90,1880
-131,90,1840
-130,90,840
-129,90,1160
-128,90,240
-127,90,320
-126,90,280
-125,90,200
-124,90,400
-123,90,560
-122,90,480
-121,90,400
-120,90,1880
-119,90,1880
-118,90,1880
-117,90,1880
-116,90,1760
-115,90,1960
-114,90,2000
-113,90,2040
-112,90,1680
-111,90,1320
-110,90,1880
-109,90,1960
-108,90,2040
-107,90,1600
-106,90,1360
-105,90,2040
-104,90,1720
-103,90,1720
-102,90,1280
-101,90,1280
-100,90,1840
-99,90,1520
-98,90,1240
-97,90,1200
-96,90,1440
-95,90,840
-94,90,440
-93,90,560
-92,90,480
-91,90,520
-90,90,640
-89,90,520
-88,90,480
-87,90,520
-86,90,640
-85,90,560
-84,90,600
-83,90,560
-82,90,720
-81,90,640
-80,90,640
-79,90,320
-78,90,800
-77,90,1280
-76,90,640
-75,90,400
-74,90,360
-73,90,640
-72,90,800
-71,90,520
-70,90,520
-69,90,400
-68,90,400
-67,90,400
-66,90,400
-65,90,640
-64,90,760
-63,90,720
-62,90,480
-61,90,560
-60,90,520
-59,90,640
-58,90,600
-57,90,480
-56,90,440
-55,90,760
-54,90,1040
-53,90,680
-52,90,400
-51,90,320
-50,90,160
-49,90,200
-48,90,160
-47,90,160
-46,90,160
-45,90,160
-44,90,200
-43,90,200
-42,90,160
-41,90,240
-40,90,320
-39,90,200
-38,90,160
-37,90,160
-36,90,160
-35,90,160
-34,90,200
-33,90,200
-32,90,200
-31,90,200
-30,90,200
-29,90,200
-28,90,200
-27,90,200
-26,90,160
-25,90,200
-24,90,200
-23,90,200
-22,90,200
-21,90,200
-20,90,200
-19,90,200
-18,90,200
-17,90,200
-16,90,200
-15,90,200
-14,90,200
-13,90,160
-12,90,200
-11,90,160
-10,90,160
-9,90,2040
-8,90,2040
-7,90,1960
-6,90,1600
-5,90,2040
-4,90,2040
-3,90,2040
-2,90,2040
-1,90,2040
0,90,2040
1,90,2040
2,90,2040
3,90,2040
4,90,2040
5,90,2040
6,90,2040
7,90,2040
8,90,2040
9,90,2040
10,90,2040
11,90,2040
12,90,2040
13,90,2040
14,90,2040
15,90,200
16,90,160
17,90,160
18,90,160
19,90,160
20,90,120
21,90,80
22,90,80
23,90,40
24,90,40
25,90,160
26,90,200
27,90,160
28,90,160
29,90,160
30,90,160
31,90,80
32,90,120
33,90,120
34,90,120
35,90,120
36,90,120
37,90,2040
38,90,120
39,90,120
40,90,120
41,90,120
42,90,120
43,90,120
44,90,120
45,90,40
46,90,40
47,90,80
48,90,80
49,90,80
50,90,120
51,90,80
